File name,Original_node,Original_edge,Pruning_node,Pruning_edge,Reduction_node,Reduction_edge
CDE008D55F872C75E3FF7A40FA67427F72F7D7EF85D738A7C41F3916CB87D3F0.apk,47016,101142,776,5273,46240,95869
0C50D89DA541D9487F452897DFD45F33ED1A72A0942DB1F5C8400FC5AD682C65.apk,98,104,98,104,0,0
48C8913F6A4EC6C9B1FE9AE29E852AE94E6B20FB95BBF9EA013DADCE8CF6F786.apk,119,158,119,158,0,0
B3FD937979AA20D38E36F15E8A7DE8741A03350FC6DF2D4EF91A56787F57DC12.apk,47586,116257,747,5266,46839,110991
66536AB2BCC57A8939F1969DD3BADCD48CEE55454DBE8F585D54242403D73CD9.apk,22797,53739,943,7128,21854,46611
9C3131E372452ABF9B3B2C4AB187250B0774767C2E8DF058B37920F8EEAD8EBD.apk,2133,8845,840,5684,1293,3161
9474D085D2F3CD379E9108ADFD9C894C1DD4B0E4F2B1092144D2DBA55EB96EF8.apk,119,158,119,158,0,0
1EE897A964BFB837FB93E25C7C0F84914045E324F1D6E61215A9CC11BEF78088.apk,98,104,98,104,0,0
E10D114E409770CB2B0C024DED7168754FD989BDD19AA80D6E42ED54DAD56A13.apk,98,104,98,104,0,0
705682519D474F4DE54E4EA9C8DFBE934936EFA9B7015B8DD852A2C65256C944.apk,2783,9413,930,5610,1853,3803
BB79209A26A230B89E3BC5F13B827BA00F566A634D390EDF4D13B11B41CFC96F.apk,84,92,84,92,0,0
BF07F53AA3E6AD351F4CF1E287B355BDF4A88CE5A0A0A4D30F50EA438EE816C0.apk,131,186,131,186,0,0
65502C9AF89626FF4EEB87163E2CA6A4AE7C30FD09A9D4C9D62C7CAE50D0BF82.apk,98,104,98,104,0,0
A9263B150B54F2C913711C13E9114D893369F4605BC9681A907641CB29AFBC57.apk,98,104,98,104,0,0
4A71EC67749447CB14B51BC769FB13F09F740ED0EF98346B43DCEF56371C30EC.apk,2133,8845,840,5684,1293,3161
D477033C00E0335A661F210FDE63E7EA0A89629CE0A04C6D63FA65ED8C7D37D2.apk,131,186,131,186,0,0
3451C66409C081BABEBABBCCDE100B95F7457A486F926B7472DF1C15DC40FA6A.apk,97,107,97,107,0,0
D7B5B8EF6E45C8560232F09F6AA7F7CA3452716BC2F30B96D2B70198128B2703.apk,52250,116572,778,4534,51472,112038
8663D78375E003839EF2E5809BB59E5B38E9757E3084B49700826A0E00CD0813.apk,119,158,119,158,0,0
E33B24549CC82CB4E178AA9F0F2E52F4B8405858CF84D2A24879412F8A5D9887.apk,2782,9410,930,5610,1852,3800
734BE7FBF3740EFF2C3301DED605B28F5A705C82744729302BBB669A266ABB64.apk,98,104,98,104,0,0
276F288F2C73BFC3BDEF03224E7C354F3F2FE6D78A1469AF26F35139D6E7B6CA.apk,101,111,101,111,0,0
70B7EECF6DAF4B4BA2BCFEC78EAFA5404800809414187A189FF18A582250EF82.apk,131,186,131,186,0,0
6546F6A878156A1C66266AB1EFE010879FC2E8092B2D5B9C13A5458623F981E3.apk,2135,8848,840,5684,1295,3164
DF725EF75F0901C2EED17B79A0289259C25CF531C32E94162EC0E7416EE97643.apk,84,92,84,92,0,0
F724D0421819B9D10C4FC05586CA2C7712922964B80566B2228FAEF73C6AA9EA.apk,97,107,97,107,0,0
EA77EC0D1DC746B321BB8C274C8F9917DB5B555E9448DA9338171AA053677F1B.apk,46827,107831,726,4853,46101,102978
E4FFEA24D41A34742501A9E73CC7F44A9AFC43FB844E520C02C07D9E6EF34F8D.apk,101,111,101,111,0,0
